customer_id,cust_company,sku_code,product_desc,order_qty,list_price,line_total,order_date,account_mgr,sales_territory,payment_terms,email,phone,shipping_address,order_priority,tax_amount
6899,Chapman-Jones,PROD_511,Switchable national circuit,56,474.34,N/A,04-19-25,Joel Clark,,Cash,millermarcus@example.com,(869)906-1038,,High,
3791,,PROD_508,Reduced mobile instruction set,35,NULL,17589.25,15-01-2024,Kenneth Smith,,Wire Transfer,,,,,1407.14
7820,Vaughn-Ross,PROD_685,Polarized clear-thinking array,45,NULL,20595.15,2023-12-26,Kenneth Smith,  Southwest  ,PayPal,bethanyfisher@example.org,,,Low,1647.61
2636,Berry-Moreno,PROD_424,Switchable national circuit,95,942.78,63137.8,,Ruth Russell,South,,timothy93@example.com,,,Medium,5051.02
3660,Parker and Sons,PROD_513,Team-oriented well-modulated access,33,854.62,28202.46,,,West,Wire Transfer,,,,Low,2256.2
4009,"  Williams, Garwner and Buck  ",PROD_644,Phased upward-trending success,22,NULL,5545.26,,Jessica Rogers,Southwest,  Credit Card  ,,,,Low,443.62
4009,"  Williams, Garwner and Buck  ",PROD_644,Phased upward-trending success,4,232.54,N/A,,,Southwest,  Credit Card  ,,,"230 Raymond Turnpike Suite 477
North Jason, VI 73559",Medium,
3329,Nguyen-Leonard,PROD_569,Public-key zero administration toolset,N/A,69.64,N/A,10-01-24,  Jeanette Rhodes  ,South,  Wire Transfer  ,,,,,
9130,,PROD_252,Face-to-face clear-thinking website,0,402.67,0,,Dakota Garcia DDS,South,,,2199541517,,Medium,0.0
7572,"Dodson, Perez and Evans",PROD_428,,38,NULL,N/A,2024-05-07,Veronica Roth,Central,PayPal,,,,Medium,
2260,,PROD_348,Self-enabling eco-centric data-warehouse,N/A,76.25,6786.25,,Mr. Brian Clay MD,  West  ,,,,,,542.9
6583,,PROD_213,Implemented leadingedge algorithm,70,28.22,N/A,25-01-2025,Mark Sosa,  South  ,Credit Card,jacqueline16@example.org,,,,
8790,Berry-Moreno,PROD_655,Optimized zero-defect support,N/A,74.24,N/A,,Kenneth Smith,  North  ,Credit Card,,001-531-804-8644x419,,Low,
9988,"Williads, Gardner and Buck",PROD_434,Pre-emptive zero-defect moratorium,77,110.1,8477.7,  2024-07-19  ,  Ruth Russell  ,South,Cash,zoe38@example.org,+1-244-990-7359,,High,678.22
3116,Graham Inc,PROD_185,,61,NULL,12389.1,06-13-25,  Ruth Russell  ,West,  Bank Transfer  ,patelkevin@example.org,+1-292-575-8199x0908,,High,991.13
8135,Nguyen-Leonard,PROD_575,Pre-emptive zero-defect moratorium,73,NULL,72010.12,2024-11-11,  Terrance Scott  ,South,Credit Card,stevenharris@example.net,,,,5760.81
,  Taylor Ltd  ,PROD_237,,81,218.96,17735.76,2024-10-06,,West,Wire Transfer,,,,Medium,1418.86
5778,,PROD_184,,N/A,131.15,11803.5,  2024-06-30  ,,,Check,,,,Low,944.28
8933,,PROD_772,Polarized clear-thinking array,63,290.3,18288.9,03/17/2025,,,Bank Transfer,,,,Low,1463.11
4465,Fisher-Lam,PROD_256,Vision-oriented optimizing matrix,N/A,57.98,2725.06,09-06-2024,,Central,  Check  ,,,"591 Juan Junction
Claytonberg, GA 41812",,218.0
5415,,PROD_224,Profound full-range circuit,24,105.88,2541.12,  10/12/2024  ,,Central,,,,,High,203.29
5868,Carlson-Hart,  PROD_156  ,Phased upward-trending success,31,376.19,11661.89,2024-02-03,Kyle Carter,Southwest,Credit Card,,,,,932.95
8152,Chapman Inc,PROD_933,Persistent intermediate firmware,41,161.95,6639.95,,  Mr. Brian Clay MD  ,North,,,,"103 Sanchez Hollow Suite 441
New Kristyside, KY 64723",,531.2
